run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-12-20240904-20:32:14-25926,param,,,RandomGrid.poweroff_rate,70,,,
General-12-20240904-20:32:14-25926,param,,,RandomGrid.g_syn_scheme,0,,,
General-12-20240904-20:32:14-25926,param,,,RandomGrid.g_ic_syn_cycle,6,,,
General-12-20240904-20:32:14-25926,param,,,RandomGrid.g_ic_num,6,,,
General-12-20240904-20:32:14-25926,param,,,RandomGrid.g_energy_model,0,,,
General-12-20240904-20:32:14-25926,param,,,RandomGrid.sink.node_type,0,,,
General-12-20240904-20:32:14-25926,param,,,RandomGrid.icc.node_type,2,,,
General-12-20240904-20:32:14-25926,param,,,RandomGrid.ic[*].node_type,1,,,
General-12-20240904-20:32:14-25926,param,,,RandomGrid.ic[*].g_if_produce_packets,false,,,
General-3-20240904-19:37:04-25926,runattr,,,configname,General,,,
General-3-20240904-19:37:04-25926,runattr,,,datetime,20240904-19:37:04,,,
General-3-20240904-19:37:04-25926,runattr,,,experiment,General,,,
General-3-20240904-19:37:04-25926,runattr,,,inifile,omnetpp.ini,,,
General-3-20240904-19:37:04-25926,runattr,,,iterationvars,"$0=1, $1=0",,,
General-3-20240904-19:37:04-25926,runattr,,,iterationvarsf,"1,0-",,,
General-3-20240904-19:37:04-25926,runattr,,,measurement,"$0=1, $1=0",,,
General-3-20240904-19:37:04-25926,runattr,,,network,RandomGrid,,,
General-3-20240904-19:37:04-25926,runattr,,,processid,25926,,,
General-3-20240904-19:37:04-25926,runattr,,,repetition,0,,,
General-3-20240904-19:37:04-25926,runattr,,,replication,#0,,,
General-3-20240904-19:37:04-25926,runattr,,,resultdir,results,,,
General-3-20240904-19:37:04-25926,runattr,,,runnumber,3,,,
General-3-20240904-19:37:04-25926,runattr,,,seedset,3,,,
General-3-20240904-19:37:04-25926,param,,,RandomGrid.poweroff_rate,1,,,
General-3-20240904-19:37:04-25926,param,,,RandomGrid.g_syn_scheme,0,,,
General-3-20240904-19:37:04-25926,param,,,RandomGrid.g_ic_syn_cycle,6,,,
General-3-20240904-19:37:04-25926,param,,,RandomGrid.g_ic_num,6,,,
General-3-20240904-19:37:04-25926,param,,,RandomGrid.g_energy_model,0,,,
General-3-20240904-19:37:04-25926,param,,,RandomGrid.sink.node_type,0,,,
