Time [s],Channel 2,Channel 13
93.568155000,0,1
93.570038000,0,0
93.571922000,0,1
93.573805000,0,0
93.575689000,0,1
93.577572000,0,0
93.579456000,0,1
93.581339000,0,0
93.583222000,0,1
93.585105000,0,0
93.586989000,0,1
93.588872000,0,0
93.590754000,0,1
93.592637000,0,0
93.594520000,0,1
93.596404000,0,0
93.598287000,0,1
93.600171000,0,0
93.602054000,0,1
93.603939000,0,0
93.605822000,0,1
93.607706000,0,0
93.609589000,0,1
93.611471000,0,0
93.613354000,0,1
93.615237000,0,0
93.617120000,0,1
93.619003000,0,0
93.620887000,0,1
93.622709000,0,0
144.629163000,0,1
144.631040000,0,0
144.632919000,0,1
144.634797000,0,0
144.636676000,0,1
144.638554000,0,0
144.640432000,0,1
144.642310000,0,0
144.644187000,0,1
144.646065000,0,0
144.647943000,0,1
144.649821000,0,0
144.651699000,0,1
144.653578000,0,0
144.655456000,0,1
144.657335000,0,0
144.659212000,0,1
144.661091000,0,0
144.662969000,0,1
144.664847000,0,0
144.666725000,0,1
144.668603000,0,0
144.670480000,0,1
144.672358000,0,0
144.674236000,0,1
144.676114000,0,0
144.677993000,0,1
144.679871000,0,0
144.681750000,0,1
144.683627000,0,0
144.685505000,0,1
144.687383000,0,0
144.689260000,0,1
144.691138000,0,0
144.693016000,0,1
144.694894000,0,0
144.696771000,0,1
144.698650000,0,0
144.700528000,0,1
144.702407000,0,0
144.704285000,0,1
144.706164000,0,0
144.708042000,0,1
144.709921000,0,0
144.711798000,0,1
144.713678000,0,0
144.715555000,0,1
144.717434000,0,0
144.719312000,0,1
144.721189000,0,0
144.723068000,0,1
144.724946000,0,0
144.726825000,0,1
144.728703000,0,0
144.730582000,0,1
144.732459000,0,0
144.734337000,0,1
144.736215000,0,0
144.738092000,0,1
144.739970000,0,0
144.741848000,0,1
144.743725000,0,0
144.745603000,0,1
144.747482000,0,0
144.749359000,0,1
144.751238000,0,0
144.753116000,0,1
144.754994000,0,0
144.756871000,0,1
144.758749000,0,0
144.760627000,0,1
144.762504000,0,0
144.764382000,0,1
144.766260000,0,0
144.768137000,0,1
144.770015000,0,0
144.771894000,0,1
144.773772000,0,0
144.775651000,0,1
144.777528000,0,0
144.779406000,0,1
144.781284000,0,0
144.783161000,0,1
144.785039000,0,0
144.786917000,0,1
144.788794000,0,0
144.790672000,0,1
144.792551000,0,0
144.794429000,0,1
144.796308000,0,0
144.798186000,0,1
144.800065000,0,0
144.801942000,0,1
144.803821000,0,0
144.805699000,0,1
144.807578000,0,0
144.809456000,0,1
144.811335000,0,0
144.813212000,0,1
144.815090000,0,0
144.816969000,0,1
144.818847000,0,0
144.820726000,0,1
144.822604000,0,0
144.824483000,0,1
144.826360000,0,0
144.828238000,0,1
144.830116000,0,0
144.831994000,0,1
144.833871000,0,0
144.835749000,0,1
144.837627000,0,0
144.839505000,0,1
144.841384000,0,0
144.843261000,0,1
144.845140000,0,0
144.847018000,0,1
144.848896000,0,0
144.850774000,0,1
144.852651000,0,0
144.854529000,0,1
144.856407000,0,0
144.858285000,0,1
144.860163000,0,0
144.862042000,0,1
144.863919000,0,0
144.865798000,0,1
144.867676000,0,0
144.869555000,0,1
144.871433000,0,0
144.873310000,0,1
144.875188000,0,0
144.877066000,0,1
144.878944000,0,0
144.880821000,0,1
144.882699000,0,0
144.884577000,0,1
144.886456000,0,0
144.888333000,0,1
144.890213000,0,0
144.892090000,0,1
144.893969000,0,0
144.895847000,0,1
144.897726000,0,0
144.899604000,0,1
144.901483000,0,0
144.903360000,0,1
144.905239000,0,0
144.907117000,0,1
144.908995000,0,0
144.910874000,0,1
144.912752000,0,0
144.914631000,0,1
144.916508000,0,0
144.918388000,0,1
144.920265000,0,0
144.922143000,0,1
144.924021000,0,0
144.925899000,0,1
144.927777000,0,0
144.929655000,0,1
