Time [s],Channel 4,Channel 8
20483.930450720,0,1
20483.930451040,0,0
20486.901053120,0,1
20487.072760800,0,0
20493.172864320,0,1
20493.329790720,0,0
20493.329791680,0,1
20493.329792000,0,0
20496.308800480,0,1
20496.488758400,0,0
20496.488759200,0,1
20496.488760160,0,0
20499.452530240,0,1
20499.598645280,1,1
20499.598645440,0,1
20499.605419680,0,0
20515.364528640,1,0
20515.364528800,0,0
20546.916378080,1,0
20546.916378240,0,0
20565.883046400,1,0
20565.883046560,0,0
20565.887548480,1,0
20565.887548640,0,0
20581.675194400,1,0
20581.675194560,0,0
20730.013036480,1,0
20730.013036640,0,0
20748.967521120,1,0
20748.967521280,0,0
20780.521876160,1,0
20780.521876320,0,0
20802.630867520,1,0
20802.630867680,0,0
20808.964707520,1,0
20808.964707680,0,0
20913.561286080,0,1
20913.667416480,0,0
20916.300828160,1,0
20916.300828320,0,0
20916.696373600,0,1
20916.795189280,0,0
20922.806159840,0,1
20922.959633920,0,0
20932.214645440,0,1
20932.405056960,1,1
20932.486687680,1,0
20932.486688480,1,1
20932.486689600,1,0
20932.499038080,0,0
20938.483924480,0,1
20938.655733600,0,0
20963.759952160,1,0
20963.870716960,0,0
20967.012086720,1,0
20967.012848800,0,0
20967.097928480,0,1
20967.209833920,0,0
21001.675363200,0,1
21001.677885440,0,0
21405.743122240,0,1
21405.901226240,0,0
21412.012144000,0,1
21412.189291520,0,0
21412.189292480,0,1
21412.189292960,0,0
21415.148104960,0,1
21415.400256320,1,1
21415.423205920,1,0
21415.509286080,0,0
21421.417223200,0,1
21421.580724640,0,0
21424.720942080,0,1
21424.835899840,0,0
21427.854051520,0,1
21427.954710880,0,0
21431.086176320,0,1
21431.198419520,0,0
21437.302490720,1,0
21437.303194560,0,0
21440.455602720,1,0
21440.566091680,0,0
21443.604842880,1,0
21443.605681440,0,0
21446.880439840,0,1
21446.986797760,0,0
21866.884415200,0,1
21866.992364640,0,0
21870.011289280,0,1
21870.113965280,0,0
21873.137244000,0,1
21873.243113760,0,0
21882.271845440,1,0
21882.271845600,0,0
21885.694279840,0,1
21885.799198400,0,0
21891.969864640,0,1
21892.072372640,0,0
21894.873815040,1,0
21894.873815200,0,0
21898.239204800,0,1
21898.362801440,0,0
21901.373578560,0,1
21901.478572000,0,0
21917.047729120,0,1
21917.159637120,0,0
21923.165562400,0,1
21923.428500160,0,0
21926.299145760,0,1
21926.455873440,0,0
21932.568113760,0,1
21932.840379680,0,0
21935.703999840,0,1
21935.886198720,0,0
21986.455107840,1,0
21986.455108000,0,0
22008.539546080,1,0
22008.539546240,0,0
22011.713819840,1,0
22011.713820000,0,0
22068.498365280,1,0
22068.498365440,0,0
22150.616318080,1,0
22150.616318240,0,0
22160.046112480,1,0
22160.046112640,0,0
22238.980024480,1,0
22238.980024640,0,0
22330.989878080,0,1
22331.103752480,0,0
22337.199820640,1,0
22337.263064480,1,1
22337.310301920,0,1
22337.364034240,0,0
22371.764739040,0,1
22371.867366880,0,0
22374.897499200,0,1
22374.998118880,0,0
22390.747306720,1,0
22390.748098880,0,0
22393.809492000,1,0
22393.810374080,0,0
22396.955016160,1,0
22396.955872320,0,0
22403.327780160,0,1
22403.447227200,0,0
22412.738039520,1,0
22412.848498080,0,0
22415.520540480,0,1
22415.520540640,0,0
22415.968402880,0,1
22415.970905120,0,0
22835.715769920,0,1
22835.877604640,0,0
22839.115997760,1,0
22839.219232160,0,0
22845.123822560,0,1
22845.283860000,0,0
22848.259753120,0,1
22848.373112320,1,1
22848.420486880,1,0
22848.466683680,0,0
22857.836094240,0,1
22857.948464160,0,0
22860.997671520,1,0
22861.106205920,0,0
22867.309508000,1,0
22867.310274880,0,0
22870.468840480,1,0
22870.469614080,0,0
23306.111132800,0,1
23306.273159360,0,0
23309.247156000,0,1
23309.595893120,0,0
23309.595893920,0,1
23309.595894720,0,0
23312.383215520,0,1
23312.553332160,0,0
23312.641075520,1,0
23312.752039360,0,0
23315.683559040,0,1
23315.793371680,0,0
23318.742374720,1,0
23318.743099840,0,0
23328.051231200,1,0
23328.324373120,0,0
23331.361638240,1,0
23331.362475360,0,0
23337.473796480,0,1
23337.742839200,0,0
23340.609619680,0,1
23340.768896800,0,0
23344.004877280,1,0
23344.005709600,0,0
23350.315902880,1,0
23350.316645760,0,0
23353.536898720,0,1
23353.663099680,0,0
23773.371391520,0,1
23773.635057440,1,1
23773.637523840,0,1
23773.644650240,0,0
23788.942783200,1,0
23789.093017440,0,0
23798.459015680,0,1
23798.731745440,0,0
23801.759004320,0,1
23801.828284640,1,1
23801.929825600,0,1
23801.945296160,0,0
23804.998774240,1,0
23804.999535360,0,0
23811.003531200,0,1
23811.201604800,1,1
23811.279655200,1,0
23811.312127360,0,0
23820.677482400,1,0
23820.678231840,0,0
23836.288861920,1,0
23836.457109120,0,0
23836.563225600,0,1
23836.565736000,0,0
24253.174637920,0,1
24253.343904960,0,0
24256.313116480,0,1
24256.473951520,0,0
24262.582263840,0,1
24262.744186880,0,0
24265.655285920,1,0
24265.655286080,0,0
24268.854060800,0,1
24269.124675680,0,0
24278.425982880,0,1
24278.528584800,0,0
24281.444458080,1,0
24281.444458240,0,0
24284.713886400,0,1
24284.827558560,0,0
24287.837989600,0,1
24287.875869600,1,1
24287.957756480,1,0
24287.974927040,0,0
24297.079378400,0,1
24297.236752320,0,0
24723.561158400,0,1
24723.827672960,1,1
24723.830247200,0,1
24723.887580480,0,0
24729.999012480,0,1
24730.030402720,1,1
24730.109582880,1,0
24730.137406080,0,0
24735.969560320,1,0
24736.139281600,0,0
24748.649075360,0,1
24748.924059200,0,0
24751.792751040,0,1
24751.911721280,1,1
24751.977933120,1,0
24751.977934240,1,1
24751.977934400,1,0
24752.016778880,0,0
24770.608323200,0,1
24770.772321280,0,0
24890.663582880,1,0
24890.663583040,0,0
24960.134714720,1,0
24960.134714880,0,0
24972.766798880,1,0
24972.766799040,0,0
24979.045500160,1,0
24979.045500320,0,0
25001.187800640,1,0
25001.187800800,0,0
25029.563413920,1,0
25029.563414080,0,0
25061.145602560,1,0
25061.145602720,0,0
25175.227741120,1,0
25175.332412160,0,0
25200.387469280,0,1
25200.504009280,0,0
25206.496566400,0,1
25206.818416480,0,0
25212.771264000,0,1
25213.030594720,0,0
25215.912147360,0,1
25216.081290720,0,0
25225.312542560,0,1
25225.480180000,0,0
25225.566578880,1,0
25225.673704800,0,0
25234.720477280,0,1
25234.908764640,1,1
25234.989146880,1,0
25235.011448960,0,0
25241.215952320,1,0
25241.216781920,0,0
